# For assumptions used for these MLCS31 distances (mu), see footnote 1 of
# Table 3 (p. 66) of http://arxiv.org/PS_cache/arxiv/pdf/0901/0901.4804v1.pdf
#
# SNIa  z_CMB +/-     Delta  +/-    A_V   +/-     mu    +/-
03D1au  0.504 0.001  -0.296 0.065  0.147 0.127  42.540 0.179
04D3lu  0.822 0.001  -0.026 0.135  0.111 0.089  43.766 0.207
04D3ml  0.950 0.001  -0.328 0.114  0.054 0.046  44.154 0.146
04D3nc  0.817 0.001  -0.201 0.140  0.116 0.093  43.726 0.194
04D3nh  0.340 0.001  -0.202 0.090  0.158 0.113  41.612 0.160
04D3nr  0.960 0.001  -0.241 0.144  0.049 0.044  44.344 0.179
04D3ny  0.810 0.001  0.042 0.196  0.120 0.117  43.647 0.261
04D3oe  0.756 0.001  -0.046 0.209  0.094 0.097  43.543 0.233
04D4an  0.613 0.001  0.290 0.247  0.237 0.219  43.063 0.392
04D4bk  0.840 0.001  -0.281 0.115  0.083 0.070  43.879 0.159
04D4bq  0.550 0.001  -0.212 0.155  0.237 0.212  42.728 0.292
04D4dm  0.811 0.001  -0.169 0.190  0.118 0.114  43.917 0.233
2002dc  0.475 0.010  0.184 0.183  0.195 0.208  42.355 0.274
2002dd  0.950 0.010  -0.254 0.125  0.230 0.203  44.075 0.288
Eagle  1.020 0.010  -0.129 0.148  0.170 0.155  44.418 0.222
Ferguson  1.020 0.010  0.062 0.183  0.278 0.258  44.094 0.330
Gabi  1.120 0.010  -0.100 0.136  0.118 0.113  44.637 0.192
Koekemoer  1.230 0.010  -0.015 0.176  0.112 0.125  45.026 0.271
Lancaster  1.230 0.010  0.011 0.280  0.363 0.221  45.109 0.247
Manipogo  0.854 0.010  0.116 0.157  0.136 0.149  43.897 0.243
Mcguire  1.370 0.010  -0.255 0.109  0.105 0.098  45.196 0.189
Ombo  0.975 0.010  -0.372 0.078  0.182 0.151  44.378 0.202
Patuxent  0.970 0.010  0.026 0.251  0.139 0.157  44.385 0.323
Rakke  0.740 0.010  -0.001 0.135  0.184 0.152  43.368 0.224
Spock  0.839 0.010  0.058 0.222  0.158 0.180  43.429 0.397
Strolger  1.010 0.010  -0.206 0.166  0.125 0.127  44.598 0.216
Thames  0.954 0.010  0.115 0.228  0.203 0.208  44.113 0.390
Zwicky  0.521 0.010  -0.185 0.135  0.201 0.179  42.498 0.230
anguta  0.670 0.010  0.212 0.185  0.299 0.239  43.089 0.318
aphrodite  1.300 0.010  -0.065 0.186  0.326 0.199  44.848 0.201
bilbo  0.216 0.010  -0.193 0.139  1.246 0.299  40.333 0.302
borg  1.340 0.010  -0.224 0.174  0.467 0.263  44.875 0.312
elvis  0.840 0.010  0.110 0.157  0.194 0.155  43.626 0.225
frodo  0.735 0.010  0.258 0.182  0.213 0.229  43.088 0.282
gilgamesh  1.551 0.010  -0.191 0.184  0.768 0.282  45.093 0.296
inanna  1.307 0.010  0.239 0.267  0.310 0.276  45.146 0.359
isis  0.526 0.010  -0.321 0.106  0.323 0.245  43.481 0.325
mcenroe  0.900 0.010  -0.184 0.107  0.310 0.263  43.412 0.365
nanna  1.140 0.010  0.309 0.340  0.112 0.123  44.569 0.461
qiqirn  0.640 0.010  0.121 0.230  0.294 0.258  42.799 0.394
ramone  0.954 0.010  0.142 0.187  0.136 0.115  44.187 0.295
sasquatch  1.390 0.010  0.006 0.311  0.482 0.281  44.933 0.280
torngasak  1.265 0.010  -0.060 0.232  0.357 0.234  44.831 0.321
vilas  0.935 0.010  -0.108 0.130  0.271 0.256  43.790 0.381
b010  0.590 0.003  -0.170 0.180  0.119 0.091  42.966 0.212
b013  0.427 0.003  0.016 0.139  0.204 0.151  41.949 0.221
b020  0.426 0.003  0.055 0.325  0.228 0.201  41.742 0.374
d033  0.530 0.008  -0.326 0.108  0.107 0.089  42.932 0.156
d083  0.333 0.001  -0.284 0.060  0.103 0.080  40.691 0.129
d084  0.516 0.006  -0.200 0.205  0.226 0.190  42.941 0.286
d085  0.401 0.008  -0.241 0.111  0.216 0.156  41.924 0.215
d086  0.204 0.003  -0.177 0.064  0.663 0.320  40.030 0.312
d087  0.337 0.004  -0.125 0.093  0.152 0.122  41.299 0.192
d089  0.424 0.003  -0.212 0.117  0.162 0.133  42.023 0.184
d093  0.361 0.003  -0.330 0.067  0.087 0.074  41.708 0.133
d097  0.434 0.007  -0.329 0.067  0.138 0.111  42.076 0.161
d099  0.210 0.002  -0.120 0.085  0.141 0.121  40.401 0.193
d117  0.301 0.005  0.311 0.197  0.252 0.184  41.362 0.257
d149  0.344 0.008  -0.223 0.088  0.211 0.149  41.585 0.203
e020  0.159 0.006  -0.041 0.142  0.473 0.343  39.749 0.302
e029  0.332 0.008  0.258 0.228  0.219 0.201  41.502 0.253
e108  0.472 0.007  -0.284 0.123  0.087 0.073  42.257 0.145
e132  0.235 0.006  -0.131 0.094  0.810 0.281  40.347 0.280
e136  0.348 0.006  0.323 0.172  0.338 0.218  41.580 0.269
e138  0.611 0.006  -0.288 0.120  0.118 0.085  42.971 0.171
e140  0.614 0.006  -0.197 0.143  0.133 0.087  42.881 0.166
e147  0.641 0.008  -0.184 0.149  0.084 0.061  43.002 0.172
e148  0.429 0.006  -0.116 0.168  0.122 0.102  42.229 0.194
e149  0.491 0.006  0.005 0.157  0.205 0.177  42.215 0.258
f011  0.536 0.006  -0.092 0.237  0.176 0.132  42.640 0.238
f041  0.558 0.007  -0.300 0.124  0.103 0.082  42.695 0.153
f076  0.410 0.004  0.187 0.300  0.261 0.199  41.426 0.322
f216  0.595 0.011  -0.105 0.235  0.133 0.098  43.320 0.243
f221  0.443 0.004  -0.047 0.208  0.108 0.097  42.834 0.224
f231  0.620 0.008  -0.249 0.143  0.102 0.074  43.029 0.161
f235  0.422 0.006  0.168 0.220  0.128 0.107  41.777 0.231
f244  0.546 0.005  -0.024 0.257  0.154 0.121  42.693 0.251
g001  0.268 0.002  0.171 0.126  0.092 0.078  40.844 0.155
g005  0.218 0.007  -0.260 0.038  0.445 0.267  40.349 0.270
g052  0.384 0.006  0.383 0.167  0.135 0.119  41.566 0.215
g055  0.302 0.006  -0.296 0.073  1.028 0.334  41.357 0.354
g097  0.339 0.004  -0.285 0.100  0.364 0.266  41.503 0.302
g160  0.507 0.019  -0.317 0.083  0.192 0.191  42.390 0.254
g240  0.689 0.005  -0.167 0.172  0.074 0.052  43.027 0.193
g276  0.244 0.001  -0.043 0.066  0.513 0.309  40.499 0.327
h300  0.656 0.011  -0.281 0.135  0.086 0.057  43.082 0.160
h319  0.478 0.002  -0.281 0.113  0.184 0.136  42.368 0.196
h323  0.603 0.007  -0.114 0.185  0.137 0.098  42.991 0.215
h342  0.421 0.005  -0.365 0.074  0.107 0.086  42.156 0.141
h363  0.211 0.005  0.055 0.106  0.859 0.318  40.251 0.315
h364  0.344 0.004  -0.017 0.108  0.110 0.089  41.303 0.163
k411  0.565 0.003  -0.131 0.186  0.141 0.112  42.442 0.218
k425  0.274 0.003  -0.025 0.195  0.280 0.250  41.083 0.280
k429  0.171 0.006  -0.105 0.092  0.168 0.137  39.853 0.165
k430  0.576 0.007  -0.110 0.222  0.130 0.098  43.288 0.218
k441  0.671 0.007  -0.206 0.181  0.101 0.063  43.232 0.180
k490  0.709 0.001  -0.282 0.151  0.080 0.053  43.471 0.168
m026  0.656 0.006  -0.204 0.174  0.101 0.080  43.021 0.234
m027  0.285 0.003  -0.131 0.134  0.476 0.273  41.410 0.297
m032  0.155 0.004  -0.161 0.086  0.119 0.104  39.916 0.179
m034  0.562 0.006  -0.079 0.220  0.154 0.119  42.771 0.243
m039  0.249 0.003  -0.223 0.137  0.493 0.349  40.794 0.370
m158  0.461 0.007  -0.341 0.110  0.229 0.204  42.569 0.274
m193  0.336 0.006  -0.139 0.133  0.143 0.111  41.261 0.225
n263  0.368 0.007  0.063 0.133  0.126 0.110  41.496 0.179
n278  0.308 0.006  0.016 0.185  0.197 0.146  41.127 0.210
n285  0.531 0.009  -0.122 0.213  0.184 0.139  42.617 0.256
n326  0.267 0.006  0.689 0.208  0.220 0.154  40.755 0.255
n404  0.285 0.006  -0.061 0.191  0.727 0.358  40.544 0.321
p425  0.456 0.004  -0.244 0.206  0.297 0.290  42.712 0.356
p524  0.511 0.003  -0.235 0.144  0.181 0.133  42.398 0.211
p528  0.780 0.009  -0.310 0.121  0.048 0.037  43.752 0.138
sn90O  0.031 0.001  -0.175 0.065  0.101 0.067  35.794 0.156
sn90af  0.050 0.001  0.506 0.120  0.211 0.157  36.646 0.211
sn91U  0.033 0.001  -0.122 0.083  0.410 0.188  35.615 0.206
sn91ag  0.014 0.001  -0.165 0.059  0.085 0.060  33.991 0.236
sn92J  0.046 0.001  1.041 0.090  0.108 0.091  36.224 0.156
sn92P  0.026 0.001  -0.158 0.081  0.152 0.108  35.583 0.192
sn92ae  0.075 0.001  0.021 0.099  0.229 0.161  37.716 0.216
sn92ag  0.026 0.001  0.027 0.077  0.509 0.132  35.166 0.203
sn92al  0.014 0.001  -0.046 0.053  0.086 0.053  34.032 0.226
sn92aq  0.101 0.001  0.123 0.112  0.065 0.057  38.731 0.150
sn92bc  0.020 0.001  -0.194 0.036  0.018 0.020  34.850 0.169
sn92bg  0.036 0.001  -0.042 0.072  0.132 0.090  36.153 0.171
sn92bh  0.045 0.001  -0.105 0.080  0.270 0.126  36.874 0.177
sn92bk  0.058 0.001  0.388 0.181  0.095 0.075  37.194 0.218
sn92bl  0.043 0.001  0.297 0.123  0.080 0.061  36.519 0.168
sn92bo  0.018 0.001  0.599 0.080  0.146 0.089  34.713 0.203
sn92bp  0.079 0.001  0.073 0.092  0.076 0.055  37.801 0.139
sn92br  0.088 0.001  1.011 0.211  0.139 0.106  37.746 0.261
sn92bs  0.063 0.001  -0.093 0.079  0.220 0.151  37.628 0.203
sn93B  0.071 0.001  -0.112 0.073  0.193 0.114  37.797 0.172
sn93H  0.025 0.001  0.875 0.089  0.135 0.090  35.145 0.171
sn93O  0.052 0.001  0.012 0.069  0.072 0.066  37.155 0.139
sn93ac  0.049 0.001  -0.044 0.109  0.354 0.198  36.878 0.219
sn93ag  0.050 0.001  0.051 0.086  0.177 0.106  37.087 0.167
sn94M  0.024 0.001  0.251 0.083  0.270 0.117  35.214 0.188
sn94S  0.016 0.001  -0.098 0.074  0.061 0.051  34.357 0.207
sn94T  0.036 0.001  0.702 0.116  0.122 0.100  35.999 0.165
sn95ac  0.049 0.001  -0.238 0.047  0.224 0.104  36.535 0.147
sn95ak  0.022 0.001  0.114 0.066  0.628 0.117  34.724 0.197
sn95bd  0.014 0.001  -0.249 0.044  0.537 0.261  33.969 0.236
sn96C  0.028 0.001  -0.138 0.054  0.186 0.104  35.928 0.174
sn96ab  0.124 0.001  0.132 0.165  0.163 0.170  38.887 0.288
sn96bl  0.035 0.001  -0.128 0.064  0.248 0.115  36.059 0.163
sn96bo  0.016 0.001  0.044 0.070  0.986 0.120  34.004 0.224
sn96bv  0.017 0.001  -0.223 0.063  0.588 0.153  34.180 0.239
sn97E  0.013 0.001  0.321 0.085  0.278 0.109  34.055 0.240
sn97Y  0.017 0.001  0.042 0.075  0.269 0.090  34.504 0.214
sn97cn  0.017 0.001  1.410 0.046  0.100 0.068  34.547 0.196
sn97dg  0.030 0.001  -0.010 0.076  0.235 0.109  36.115 0.173
sn97do  0.011 0.001  -0.162 0.081  0.371 0.102  33.560 0.297
sn98V  0.017 0.001  -0.067 0.062  0.270 0.121  34.342 0.207
sn98ab  0.028 0.001  -0.128 0.051  0.453 0.081  35.165 0.164
sn98bp  0.010 0.001  1.142 0.055  0.188 0.101  33.269 0.288
sn98co  0.017 0.001  0.443 0.194  0.365 0.177  34.372 0.223
sn98de  0.016 0.001  1.451 0.035  0.337 0.104  34.449 0.213
sn98dx  0.054 0.001  0.200 0.099  0.107 0.066  36.885 0.140
sn98ef  0.017 0.001  0.119 0.096  0.181 0.097  34.170 0.213
sn98eg  0.024 0.001  0.001 0.115  0.277 0.123  35.305 0.187
sn99aa  0.015 0.001  -0.277 0.028  0.024 0.025  34.462 0.203
sn99aw  0.039 0.001  -0.384 0.032  0.019 0.020  36.544 0.116
sn99cc  0.032 0.001  0.337 0.099  0.195 0.098  35.811 0.151
sn99cp  0.010 0.001  -0.111 0.099  0.099 0.065  33.500 0.291
sn99da  0.013 0.001  1.447 0.037  0.218 0.107  33.913 0.253
sn99dk  0.014 0.001  -0.251 0.048  0.266 0.100  34.215 0.238
sn99dq  0.013 0.001  -0.288 0.029  0.378 0.089  33.662 0.232
sn99ee  0.011 0.001  -0.211 0.030  0.930 0.069  33.343 0.279
sn99ef  0.038 0.001  -0.098 0.079  0.063 0.055  36.666 0.158
sn99ej  0.013 0.001  0.367 0.112  0.151 0.090  34.404 0.259
sn99ek  0.018 0.001  0.042 0.062  0.498 0.277  34.317 0.206
sn99gd  0.019 0.001  -0.004 0.073  1.452 0.112  34.526 0.209
sn99gp  0.026 0.001  -0.351 0.028  0.109 0.064  35.610 0.151
sn00bh  0.024 0.001  -0.048 0.066  0.170 0.105  35.276 0.200
sn00ca  0.025 0.001  -0.138 0.048  0.025 0.029  35.257 0.153
sn00cf  0.036 0.001  -0.006 0.066  0.238 0.107  36.330 0.159
sn00cn  0.023 0.001  0.733 0.076  0.200 0.115  35.099 0.170
sn00dk  0.016 0.001  0.594 0.069  0.037 0.039  34.375 0.203
sn00fa  0.022 0.001  -0.124 0.062  0.468 0.098  34.925 0.195
sn01G  0.017 0.001  -0.129 0.069  0.063 0.055  34.524 0.198
sn01ah  0.058 0.001  -0.223 0.111  0.062 0.048  37.263 0.159
sn01az  0.041 0.001  -0.030 0.104  0.088 0.072  36.472 0.149
sn01ba  0.030 0.001  -0.119 0.054  0.041 0.041  35.899 0.143
sn01bf  0.015 0.001  -0.173 0.074  0.269 0.113  34.044 0.228
sn01bt  0.014 0.001  0.059 0.052  0.676 0.103  33.900 0.233
sn01cn  0.015 0.001  -0.014 0.051  0.506 0.098  34.082 0.223
sn01cp  0.022 0.001  0.054 0.177  0.100 0.076  35.003 0.242
sn01cz  0.016 0.001  -0.091 0.053  0.307 0.116  34.252 0.219
sn01da  0.016 0.001  -0.038 0.090  0.219 0.129  34.562 0.237
sn01eh  0.036 0.001  -0.275 0.041  0.028 0.027  36.295 0.124
sn01en  0.015 0.001  0.065 0.072  0.200 0.093  34.249 0.227
sn01ep  0.013 0.001  0.081 0.068  0.474 0.085  33.795 0.246
sn01fe  0.014 0.001  -0.141 0.054  0.168 0.086  34.124 0.234
sn01fh  0.011 0.001  0.583 0.111  0.150 0.126  33.728 0.272
sn01ie  0.031 0.001  -0.014 0.095  0.333 0.155  35.760 0.213
sn01n  0.022 0.001  -0.026 0.092  0.699 0.168  35.002 0.223
sn01v  0.016 0.001  -0.287 0.032  0.203 0.070  34.082 0.205
sn02bf  0.025 0.001  -0.147 0.064  0.337 0.136  35.433 0.196
sn02ck  0.030 0.001  -0.058 0.073  0.139 0.089  35.771 0.169
sn02cr  0.010 0.001  -0.027 0.061  0.270 0.097  33.506 0.292
sn02de  0.028 0.001  -0.154 0.210  0.506 0.124  35.631 0.193
sn02dj  0.010 0.001  -0.204 0.114  0.415 0.114  33.127 0.296
sn02do  0.015 0.001  0.739 0.119  0.140 0.104  34.305 0.223
sn02dp  0.011 0.001  0.030 0.140  0.472 0.124  33.505 0.293
sn02es  0.018 0.001  0.326 0.151  0.676 0.188  34.415 0.235
sn02fb  0.015 0.001  1.278 0.085  0.687 0.153  34.209 0.230
sn02g  0.035 0.001  0.338 0.381  0.884 0.258  35.663 0.408
sn02ha  0.013 0.001  0.196 0.089  0.106 0.082  34.032 0.239
sn02hd  0.036 0.001  0.131 0.143  0.235 0.144  35.820 0.202
sn02he  0.025 0.001  0.493 0.114  0.072 0.061  35.286 0.196
sn02hu  0.038 0.001  -0.193 0.051  0.056 0.047  36.289 0.128
sn02hw  0.016 0.001  0.741 0.095  1.031 0.159  34.037 0.216
sn02jy  0.020 0.001  -0.197 0.068  0.108 0.076  35.275 0.184
sn02kf  0.019 0.001  0.158 0.068  0.080 0.057  35.025 0.186
sn03D  0.024 0.001  1.101 0.149  0.540 0.228  34.883 0.220
sn03U  0.028 0.001  0.464 0.093  0.118 0.081  35.527 0.164
sn03W  0.021 0.001  -0.086 0.047  0.457 0.083  34.884 0.179
sn03ch  0.030 0.001  0.160 0.107  0.102 0.076  35.970 0.161
sn03cq  0.034 0.001  0.000 0.090  0.689 0.262  35.910 0.288
sn03fa  0.039 0.001  -0.272 0.039  0.032 0.028  36.372 0.119
sn03hu  0.075 0.001  -0.254 0.081  0.282 0.167  37.691 0.195
sn03ic  0.054 0.001  0.248 0.130  0.152 0.116  36.763 0.170
sn03it  0.024 0.001  0.401 0.110  0.252 0.120  35.248 0.188
sn03iv  0.034 0.001  0.403 0.106  0.074 0.055  36.213 0.155
sn04as  0.032 0.001  -0.154 0.057  0.378 0.101  36.155 0.164
sn04bg  0.022 0.001  -0.124 0.060  0.097 0.077  35.142 0.180
sn04l  0.033 0.001  0.044 0.115  0.694 0.146  35.901 0.201
sn05dv  0.011 0.001  1.229 0.136  0.918 0.345  32.994 0.332
sn05el  0.015 0.001  0.259 0.057  0.040 0.034  34.286 0.218
sn05eq  0.028 0.001  -0.266 0.039  0.080 0.063  35.886 0.148
sn05eu  0.034 0.001  -0.251 0.042  0.061 0.048  36.180 0.140
sn05hc  0.045 0.001  -0.129 0.056  0.132 0.081  36.869 0.140
sn05hf  0.042 0.001  0.198 0.096  0.089 0.084  36.564 0.158
sn05hj  0.057 0.001  -0.314 0.061  0.094 0.070  37.372 0.129
sn05iq  0.033 0.001  0.172 0.074  0.086 0.068  36.203 0.148
sn05ir  0.075 0.001  -0.370 0.078  0.107 0.083  38.110 0.138
sn05kc  0.014 0.001  0.009 0.064  1.137 0.122  33.767 0.242
sn05ki  0.021 0.001  0.376 0.068  0.084 0.056  34.806 0.179
sn05ls  0.021 0.001  -0.236 0.057  1.153 0.125  34.411 0.205
sn05lz  0.040 0.001  0.203 0.088  0.394 0.118  36.519 0.166
sn05mc  0.026 0.001  0.888 0.080  0.367 0.151  35.361 0.170
sn05ms  0.026 0.001  -0.134 0.045  0.118 0.067  35.674 0.157
sn05mz  0.017 0.001  1.213 0.058  0.850 0.157  34.077 0.224
sn05na  0.027 0.001  -0.007 0.055  0.120 0.084  35.462 0.165
sn06ac  0.024 0.001  0.175 0.066  0.209 0.082  35.292 0.173
sn06ak  0.039 0.001  0.194 0.106  0.105 0.081  36.375 0.178
sn06al  0.069 0.001  0.164 0.101  0.075 0.056  37.834 0.134
sn06an  0.065 0.001  -0.167 0.073  0.070 0.055  37.695 0.123
sn06ar  0.023 0.001  0.258 0.394  0.392 0.209  35.249 0.278
sn06ax  0.018 0.001  -0.141 0.040  0.062 0.046  34.684 0.186
sn06az  0.032 0.001  0.248 0.054  0.041 0.034  35.852 0.137
sn06bd  0.026 0.001  1.492 0.097  0.297 0.182  35.586 0.203
sn06bq  0.021 0.001  0.286 0.071  0.235 0.111  35.163 0.186
sn06bt  0.033 0.001  -0.198 0.047  0.664 0.098  35.784 0.158
sn06bu  0.084 0.001  -0.270 0.102  0.067 0.065  38.017 0.131
sn06bw  0.031 0.001  0.427 0.132  0.358 0.215  35.682 0.206
sn06bz  0.028 0.001  1.505 0.075  0.351 0.193  35.307 0.191
sn06cc  0.033 0.001  -0.173 0.046  1.316 0.092  35.777 0.156
sn06cf  0.042 0.001  -0.056 0.095  0.114 0.080  36.564 0.146
sn06cg  0.029 0.001  0.566 0.180  0.243 0.179  35.181 0.212
sn06cj  0.068 0.001  -0.147 0.119  0.045 0.037  37.822 0.131
sn06cp  0.023 0.001  -0.138 0.061  0.704 0.109  34.846 0.189
sn06cq  0.049 0.001  -0.234 0.104  0.162 0.120  37.069 0.175
sn06cs  0.024 0.001  1.521 0.098  0.441 0.301  35.197 0.244
sn06ef  0.017 0.001  0.099 0.080  0.119 0.086  34.841 0.225
sn06ej  0.019 0.001  0.190 0.078  0.095 0.067  34.974 0.196
sn06em  0.018 0.001  1.463 0.083  0.497 0.237  35.063 0.247
sn06en  0.031 0.001  -0.043 0.063  0.326 0.153  35.930 0.200
sn06et  0.021 0.001  -0.225 0.074  0.474 0.139  35.032 0.217
sn06gj  0.028 0.001  0.513 0.135  1.112 0.187  35.306 0.181
sn06gr  0.034 0.001  -0.254 0.036  0.353 0.098  36.209 0.153
sn06gt  0.044 0.001  0.707 0.151  0.147 0.131  36.796 0.180
sn06hc  0.013 0.001  1.314 0.063  0.442 0.207  34.230 0.254
sn06hb  0.015 0.001  0.559 0.089  0.158 0.106  34.212 0.225
sn06is  0.031 0.002  -0.335 0.047  0.029 0.025  35.932 0.153
sn06kf  0.021 0.001  0.661 0.092  0.070 0.056  34.959 0.193
sn06le  0.017 0.001  -0.232 0.033  0.087 0.081  34.713 0.198
sn06lf  0.013 0.001  0.263 0.062  0.193 0.153  33.721 0.254
sn06mo  0.036 0.001  0.667 0.101  0.112 0.099  36.180 0.167
sn06mp  0.023 0.001  -0.128 0.050  0.303 0.121  35.264 0.199
sn06n  0.014 0.001  0.458 0.066  0.120 0.084  34.168 0.227
sn06nz  0.037 0.001  1.101 0.117  0.214 0.177  36.044 0.189
sn06oa  0.059 0.001  -0.202 0.093  0.170 0.091  37.344 0.145
sn06ob  0.058 0.001  0.658 0.072  0.066 0.052  37.113 0.128
sn06on  0.069 0.001  -0.084 0.170  0.413 0.183  37.467 0.207
sn06os  0.032 0.001  -0.072 0.084  1.436 0.175  35.322 0.207
sn06qo  0.030 0.001  -0.163 0.041  0.745 0.112  35.528 0.173
sn06s  0.033 0.001  -0.201 0.042  0.317 0.086  36.126 0.152
sn06sr  0.023 0.001  0.178 0.081  0.236 0.122  35.282 0.192
sn06td  0.015 0.001  0.357 0.102  0.411 0.139  34.425 0.247
sn06te  0.032 0.001  -0.058 0.054  0.097 0.070  36.052 0.152
sn07ae  0.064 0.001  -0.203 0.060  0.106 0.078  37.336 0.137
sn07ai  0.032 0.001  -0.335 0.066  0.459 0.217  35.964 0.204
sn07al  0.013 0.001  1.334 0.102  0.651 0.256  34.153 0.285
sn07ap  0.016 0.001  0.429 0.094  0.040 0.034  34.573 0.222
sn07au  0.020 0.001  1.060 0.059  0.191 0.120  34.671 0.193
sn07ba  0.039 0.001  1.183 0.102  0.141 0.124  35.910 0.157
sn07bc  0.022 0.001  0.242 0.076  0.325 0.128  34.916 0.205
sn07bd  0.032 0.001  0.284 0.084  0.089 0.077  35.837 0.161
sn07bz  0.023 0.001  -0.079 0.078  0.284 0.141  35.830 0.205
sn07ca  0.015 0.001  -0.184 0.047  0.923 0.126  34.394 0.238
sn07ci  0.019 0.001  0.781 0.084  0.397 0.161  34.285 0.210
sn07co  0.027 0.001  -0.052 0.064  0.578 0.113  35.379 0.168
sn07cq  0.025 0.001  0.047 0.064  0.178 0.109  35.164 0.183
sn07f  0.024 0.001  -0.141 0.040  0.097 0.070  35.440 0.164
sn07n  0.014 0.001  1.385 0.093  1.111 0.203  34.070 0.266
sn07o  0.036 0.001  0.012 0.064  0.080 0.066  36.225 0.147
sn07qe  0.023 0.001  -0.228 0.037  0.159 0.087  35.527 0.169
sn07r  0.031 0.001  0.204 0.075  0.074 0.056  35.968 0.155
sn07s  0.015 0.001  -0.260 0.036  1.271 0.098  33.843 0.240
