#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-22T13:56:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b548ca019622	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/ApJ/700/331/properties
#-nav=cat:J/ApJ/700/331&tab:{J/ApJ/700/331/properties}&key:source=J/ApJ/700/331/properties&HTTPPRM:&&-ref=VIZ5b548ca019622&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=SN&-out=zCMB&-out=mB&-out=mV&-out=B-V&-out=U-B&-out=AV&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-out=m15B&-out=m15V&-out=Del&-out=Dt(B)&-out=Dt(V)&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/700/331/properties
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/700/331/properties
#-out=SN
#-out=zCMB
#-out=mB
#-out=mV
#-out=B-V
#-out=U-B
#-out=AV
#-out=Simbad
#-out=m15B
#-out=m15V
#-out=Del
#-out=Dt(B)
#-out=Dt(V)
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_17000331
#Name: J/ApJ/700/331
#Title: Light curves of type Ia supernovae (CfA3) (Hicken+, 2009)
#Table	J_ApJ_700_331_properties:
#Name: J/ApJ/700/331/properties
#Title: Direct fit and MLCS2K2 (Jha et al. 2007,  Cat. J/ApJ/659/122) light-curve properties
#Column	SN	(A6)	Supernova designation	[ucd=meta.id;meta.main]
#Column	zCMB	(F7.4)	Redshift in the cosmic microwave background (CMB) reference frame	[ucd=src.redshift]
#Column	mU	(F5.2)	? The peak U magnitude (1)	[ucd=phot.mag;em.opt.U]
#Column	e_mU	(F5.2)	? mU uncertainty	[ucd=stat.error]
#Column	mB	(F5.2)	? The peak B magnitude (1)	[ucd=phot.mag;em.opt.B]
#Column	e_mB	(F5.2)	? mB uncertainty	[ucd=stat.error]
#Column	mV	(F5.2)	The peak V magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	e_mV	(F5.2)	? mV uncertainty	[ucd=stat.error]
#Column	B-V	(F6.3)	? B-V color index (1)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F5.2)	? B-V uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	U-B	(F6.3)	? U-B color index (1)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F5.2)	? U-B uncertainty	[ucd=stat.error;phot.color;em.opt.U]
#Column	AV	(F6.3)	Host-galaxy extinction (2)	[ucd=phys.absorption]
#Column	e_AV	(F6.3)	AV uncertainty	[ucd=stat.error]
#Column	E(B-V)	(F6.3)	B-V host-galaxy color excess (3)	[ucd=phot.color.excess]
#Column	e_E(B-V)	(F7.4)	E(B-V) uncertainty	[ucd=stat.error]
#Column	E(U-B)	(F6.3)	U-B host-galaxy color excess (3)	[ucd=phot.color.excess]
#Column	e_E(U-B)	(F7.4)	E(U-B) uncertainty	[ucd=stat.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	m15U	(F5.2)	? Decline rate {Delta}m_15_ in U band (1)	[ucd=src.var.amplitude]
#Column	e_m15U	(F5.2)	? m15U uncertainty	[ucd=stat.error]
#Column	m15B	(F5.2)	? Decline rate {Delta}m_15_ in B band (1)	[ucd=src.var.amplitude]
#Column	e_m15B	(F5.2)	? m15B uncertainty	[ucd=stat.error]
#Column	m15V	(F5.2)	? Decline rate {Delta}m_15_ in V band (1)	[ucd=src.var.amplitude]
#Column	e_m15V	(F5.2)	? m15V uncertainty	[ucd=stat.error]
#Column	Del	(F6.3)	Light-curve shape parameter {Delta} (2)	[ucd=stat.fit.param]
#Column	e_Del	(F6.3)	Delta uncertainty	[ucd=stat.error]
#Column	Dt(U)	(F5.2)	? Time between the closest point before and the closest point after maximum light in U-band	[ucd=time.interval]
#Column	Dt(B)	(F5.2)	? Time between the closest point before and the closest point after maximum light in B-band	[ucd=time.interval]
#Column	Dt(V)	(F5.2)	? Time between the closest point before and the closest point after maximum light in V-band	[ucd=time.interval]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
SN	zCMB	mU	e_mU	mB	e_mB	mV	e_mV	B-V	e_B-V	U-B	e_U-B	AV	e_AV	E(B-V)	e_E(B-V)	E(U-B)	e_E(U-B)	Simbad	m15U	e_m15U	m15B	e_m15B	m15V	e_m15V	Del	e_Del	Dt(U)	Dt(B)	Dt(V)	_RA	_DE
1993H 	 0.0248	     	     	16.71	 0.05	16.51	 0.04	 0.130	 0.06	      	     	 0.029	 0.026	 0.017	 0.0153	 0.012	 0.0109	Simbad	     	     	 1.76	 0.09	 1.02	 0.07	 0.874	 0.096	     	 1.11	 0.87	208.20975	-30.70647
1993O 	 0.0519	     	     	17.58	 0.05	17.72	 0.05	-0.180	 0.07	      	     	 0.048	 0.034	 0.028	 0.0200	 0.020	 0.0142	Simbad	     	     	 1.23	 0.07	 0.71	 0.08	-0.030	 0.072	     	 2.13	 3.61	202.78279	-33.21403
1993ag	 0.0500	     	     	17.82	 0.09	17.78	 0.07	 0.020	 0.10	      	     	 0.102	 0.066	 0.060	 0.0388	 0.043	 0.0275	Simbad	     	     	     	     	     	     	-0.019	 0.094	     	 6.67	 6.67	150.89583	-35.46322
1994D 	 0.0031	11.14	 0.09	11.78	 0.04	11.82	 0.02	-0.040	 0.04	-0.620	 0.10	 0.009	 0.009	 0.005	 0.0053	 0.004	 0.0038	Simbad	 1.71	 0.12	 1.35	 0.07	 0.81	 0.05	 0.361	 0.049	 0.81	 0.65	 0.49	188.50998	+07.70158
1994S 	 0.0160	     	     	14.76	 0.05	14.78	 0.06	-0.020	 0.08	      	     	 0.047	 0.034	 0.028	 0.0200	 0.020	 0.0142	Simbad	     	     	     	     	 0.68	 0.09	-0.173	 0.078	     	 1.97	 1.97	187.84104	+29.13444
1994T 	 0.0357	     	     	17.32	 0.03	17.14	 0.04	 0.180	 0.05	      	     	 0.053	 0.042	 0.031	 0.0247	 0.022	 0.0175	Simbad	     	     	 1.36	 0.05	 0.87	 0.06	 0.746	 0.106	     	 0.87	 0.87	200.37804	-02.14903
1994ae	 0.0055	     	     	12.95	 0.06	12.99	 0.03	-0.040	 0.07	      	     	 0.049	 0.032	 0.029	 0.0188	 0.020	 0.0133	Simbad	     	     	 0.98	 0.15	 0.64	 0.04	-0.236	 0.044	     	 7.96	 0.99	161.75808	+17.27522
1995D 	 0.0077	     	     	13.17	 0.06	13.25	 0.05	-0.100	 0.07	      	     	 0.068	 0.044	 0.040	 0.0259	 0.028	 0.0184	Simbad	     	     	 1.02	 0.07	 0.65	 0.07	-0.229	 0.048	     	 1.98	 2.02	145.22814	+05.14060
1995E 	 0.0117	     	     	16.68	 0.05	15.97	 0.05	 0.700	 0.07	      	     	 1.460	 0.064	 0.859	 0.0376	 0.610	 0.0267	Simbad	     	     	 1.11	 0.11	 0.61	 0.08	-0.093	 0.066	     	 2.87	 2.87	117.98646	+73.00961
1995ac	 0.0488	     	     	17.06	 0.04	17.13	 0.04	-0.110	 0.06	      	     	 0.106	 0.055	 0.062	 0.0324	 0.044	 0.0230	Simbad	     	     	 0.77	 0.07	 0.58	 0.08	-0.316	 0.052	     	 2.78	 3.83	341.39225	-08.75131
1995ak	 0.0220	     	     	16.00	 0.06	15.94	 0.06	 0.030	 0.08	      	     	 0.259	 0.072	 0.152	 0.0424	 0.108	 0.0301	Simbad	     	     	     	     	 0.86	 0.07	 0.130	 0.080	     	 1.01	 0.86	041.45346	+03.23058
1995al	 0.0059	12.72	 0.10	13.33	 0.05	13.19	 0.05	 0.130	 0.07	-0.570	 0.11	 0.177	 0.049	 0.104	 0.0288	 0.074	 0.0204	Simbad	 0.89	 0.17	 0.84	 0.09	 0.56	 0.06	-0.275	 0.049	 3.97	 3.98	 1.00	147.73321	+33.55261
1995bd	 0.0144	     	     	15.20	 0.33	14.91	 0.25	 0.270	 0.33	      	     	 0.462	 0.159	 0.272	 0.0935	 0.193	 0.0664	Simbad	     	     	 0.94	 0.34	 0.74	 0.25	-0.327	 0.049	     	 5.97	 0.98	071.33850	+11.06736
1996X 	 0.0078	12.36	 0.06	12.98	 0.05	13.02	 0.04	-0.050	 0.05	-0.480	 0.06	 0.031	 0.024	 0.018	 0.0141	 0.013	 0.0100	Simbad	 1.37	 0.10	 1.29	 0.06	 0.81	 0.04	 0.066	 0.056	 0.99	 1.09	 1.00	199.50471	-26.84592
1996bo	 0.0163	     	     	15.83	 0.05	15.50	 0.04	 0.310	 0.06	      	     	 0.626	 0.071	 0.368	 0.0418	 0.261	 0.0297	Simbad	     	     	 1.23	 0.06	 0.70	 0.07	-0.035	 0.078	     	 1.96	 3.93	027.09525	+11.52086
1997E 	 0.0133	14.77	 0.10	15.12	 0.08	15.07	 0.07	 0.030	 0.09	-0.320	 0.10	 0.085	 0.051	 0.050	 0.0300	 0.036	 0.0213	Simbad	 1.64	 0.11	 1.41	 0.09	 0.79	 0.09	 0.312	 0.086	 1.07	 1.86	 3.94	101.90875	+74.49750
1997bp	 0.0094	13.81	 0.05	13.91	 0.03	13.73	 0.03	 0.100	 0.04	-0.060	 0.05	 0.479	 0.048	 0.282	 0.0282	 0.200	 0.0200	Simbad	     	     	 1.16	 0.06	 0.71	 0.04	-0.285	 0.056	 1.00	 0.98	 2.05	191.72396	-11.64256
1997br	 0.0080	13.04	 0.09	13.63	 0.12	13.42	 0.08	 0.160	 0.13	-0.540	 0.13	 0.549	 0.054	 0.323	 0.0318	 0.229	 0.0226	Simbad	 1.21	 0.10	 1.08	 0.17	 0.65	 0.12	-0.376	 0.039	 1.90	 6.79	 5.96	200.17667	-22.03675
1997dg	 0.0297	16.33	 0.30	16.85	 0.06	16.86	 0.04	-0.030	 0.06	-0.470	 0.08	 0.092	 0.052	 0.054	 0.0306	 0.038	 0.0217	Simbad	     	     	     	     	     	     	-0.018	 0.084	 9.00	 9.00	 9.00	355.05921	+26.20328
1998aq	 0.0045	11.62	 0.03	12.31	 0.02	12.43	 0.02	-0.120	 0.03	-0.650	 0.04	 0.011	 0.011	 0.006	 0.0065	 0.005	 0.0046	Simbad	 1.23	 0.05	 1.03	 0.03	 0.66	 0.03	-0.122	 0.038	 2.01	 1.03	 0.94	179.10779	+55.12867
1998bp	 0.0102	15.20	 0.08	15.28	 0.05	15.05	 0.04	 0.160	 0.06	-0.060	 0.08	 0.025	 0.020	 0.015	 0.0118	 0.010	 0.0084	Simbad	 2.36	 0.10	 1.96	 0.08	 1.12	 0.04	 1.254	 0.047	 2.98	 2.98	 1.04	268.71142	+18.33069
1998bu	 0.0040	11.78	 0.04	12.12	 0.02	11.78	 0.02	 0.320	 0.02	-0.290	 0.04	 0.631	 0.040	 0.371	 0.0235	 0.264	 0.0167	Simbad	 1.16	 0.05	 1.04	 0.03	 0.75	 0.03	-0.066	 0.047	 0.91	 0.82	 0.82	161.69171	+11.83542
1998de	 0.0156	     	     	17.30	 0.05	16.66	 0.04	 0.600	 0.05	      	     	 0.142	 0.061	 0.084	 0.0359	 0.059	 0.0255	Simbad	     	     	 1.99	 0.12	 1.27	 0.06	 1.517	 0.042	     	 0.98	 1.02	012.02867	+27.62458
1998es	 0.0096	13.26	 0.06	13.83	 0.04	13.75	 0.07	 0.080	 0.07	-0.540	 0.06	 0.207	 0.042	 0.122	 0.0247	 0.086	 0.0175	Simbad	     	     	 0.81	 0.07	 0.59	 0.14	-0.330	 0.037	 1.03	 0.89	 7.99	024.32333	+05.88072
1999aa	 0.0153	14.17	 0.06	14.72	 0.03	14.77	 0.02	-0.060	 0.03	-0.530	 0.06	 0.025	 0.021	 0.015	 0.0124	 0.010	 0.0088	Simbad	     	     	 0.80	 0.06	 0.58	 0.03	-0.346	 0.032	 4.82	 2.02	 0.86	126.92512	+21.48744
1999ac	 0.0098	13.77	 0.06	14.09	 0.04	14.05	 0.03	-0.010	 0.05	-0.270	 0.06	 0.244	 0.042	 0.144	 0.0247	 0.102	 0.0175	Simbad	     	     	 1.33	 0.06	     	     	-0.144	 0.047	 4.02	 0.98	 1.97	241.81254	+07.97233
1999aw	 0.0392	     	     	16.73	 0.04	16.74	 0.03	-0.010	 0.04	      	     	 0.021	 0.016	 0.012	 0.0094	 0.009	 0.0067	Simbad	     	     	 0.79	 0.08	 0.62	 0.06	-0.458	 0.042	     	 4.72	 1.18	165.40154	-06.10878
1999by	 0.0028	13.73	 0.02	13.54	 0.06	13.10	 0.02	 0.400	 0.06	 0.200	 0.06	 0.030	 0.022	 0.018	 0.0129	 0.012	 0.0092	Simbad	     	     	 1.98	 0.08	 1.26	 0.03	 1.465	 0.032	 0.99	 0.97	 1.00	140.46696	+51.00183
1999cc	 0.0315	16.44	 0.05	16.76	 0.02	16.75	 0.02	-0.010	 0.03	-0.310	 0.06	 0.064	 0.049	 0.038	 0.0288	 0.027	 0.0204	Simbad	     	     	     	     	     	     	 0.288	 0.094	 4.91	 0.81	 0.98	240.67512	+37.35956
1999cl	 0.0087	15.51	 0.07	14.87	 0.04	13.72	 0.04	 1.120	 0.05	 0.660	 0.08	 2.198	 0.066	 1.293	 0.0388	 0.918	 0.0275	Simbad	     	     	     	     	     	     	-0.016	 0.086	 1.98	 1.95	 2.99	187.98337	+14.42647
1999da	 0.0125	     	     	16.65	 0.04	16.06	 0.04	 0.520	 0.05	      	     	 0.066	 0.049	 0.039	 0.0288	 0.028	 0.0204	Simbad	     	     	 1.92	 0.11	 1.15	 0.10	 1.487	 0.043	     	 1.84	 2.08	263.84567	+60.81369
1999dk	 0.0139	14.54	 0.09	14.81	 0.05	14.76	 0.04	 0.050	 0.05	-0.240	 0.10	 0.252	 0.058	 0.148	 0.0341	 0.105	 0.0242	Simbad	 1.93	 0.21	 1.19	 0.05	 0.64	 0.05	-0.306	 0.053	 7.89	 1.24	 1.24	022.86217	+14.28492
1999dq	 0.0135	13.88	 0.10	14.42	 0.08	14.34	 0.06	 0.070	 0.08	-0.480	 0.10	 0.299	 0.051	 0.176	 0.0300	 0.125	 0.0213	Simbad	     	     	 0.86	 0.11	 0.55	 0.08	-0.359	 0.034	 1.01	 0.95	 0.94	038.49867	+20.97511
1999ee	 0.0106	14.65	 0.03	14.85	 0.02	14.56	 0.02	 0.270	 0.03	-0.180	 0.03	 0.643	 0.041	 0.378	 0.0241	 0.268	 0.0171	Simbad	 1.23	 0.06	 0.90	 0.03	 0.65	 0.03	-0.278	 0.037	 2.94	 0.95	 0.87	334.03917	-36.84208
1999ek	 0.0176	     	     	15.61	 0.37	15.49	 0.28	 0.100	 0.37	      	     	 0.312	 0.156	 0.184	 0.0918	 0.130	 0.0652	Simbad	     	     	 1.21	 0.37	 0.72	 0.28	 0.056	 0.078	     	 2.03	 0.85	084.13167	+16.63828
1999gp	 0.0260	15.40	 0.06	15.99	 0.05	15.97	 0.03	 0.000	 0.05	-0.540	 0.07	 0.149	 0.044	 0.088	 0.0259	 0.062	 0.0184	Simbad	 1.05	 0.08	 0.80	 0.07	 0.55	 0.04	-0.415	 0.035	 1.86	 2.85	 0.91	037.91312	+39.38119
2000E 	 0.0042	     	     	12.86	 0.24	12.68	 0.19	 0.170	 0.24	      	     	 0.466	 0.122	 0.274	 0.0718	 0.195	 0.0510	Simbad	     	     	 0.94	 0.25	 0.66	 0.19	-0.227	 0.063	     	 4.96	 3.94	309.30737	+66.09728
2000cf	 0.0365	     	     	17.08	 0.03	17.11	 0.03	-0.050	 0.04	      	     	 0.086	 0.055	 0.051	 0.0324	 0.036	 0.0230	Simbad	     	     	 1.47	 0.05	 0.77	 0.04	-0.005	 0.079	     	 1.13	 1.13	238.23412	+65.93686
2000cn	 0.0232	16.40	 0.09	16.57	 0.05	16.40	 0.03	 0.100	 0.06	-0.160	 0.10	 0.071	 0.060	 0.042	 0.0353	 0.030	 0.0251	Simbad	     	     	     	     	     	     	 0.724	 0.084	 5.95	 5.95	 0.92	269.41842	+27.83281
2000dk	 0.0164	14.99	 0.07	15.34	 0.05	15.33	 0.04	-0.020	 0.06	-0.290	 0.07	 0.017	 0.015	 0.010	 0.0088	 0.007	 0.0062	Simbad	 1.86	 0.08	     	     	     	     	 0.511	 0.066	 0.91	 1.84	 4.91	016.84800	+32.40644
2001ba	 0.0305	     	     	16.18	 0.05	16.31	 0.05	-0.150	 0.06	      	     	 0.025	 0.021	 0.015	 0.0124	 0.010	 0.0088	Simbad	     	     	 0.95	 0.05	 0.59	 0.07	-0.164	 0.058	     	 0.98	 2.90	174.50733	-32.33083
2001bt	 0.0144	     	     	15.26	 0.05	15.09	 0.04	 0.140	 0.05	      	     	 0.426	 0.063	 0.251	 0.0371	 0.178	 0.0263	Simbad	     	     	 1.26	 0.07	 0.70	 0.06	 0.041	 0.069	     	 2.83	 3.01	288.44479	-59.28967
2001cz	 0.0163	     	     	15.05	 0.06	14.95	 0.05	 0.090	 0.07	      	     	 0.200	 0.070	 0.118	 0.0412	 0.084	 0.0293	Simbad	     	     	 0.93	 0.08	 0.62	 0.06	-0.124	 0.061	     	 2.89	 1.97	191.87571	-39.58003
